day,asia_kz,early_skip,early_bias,reason,scenario,target_direction,ensemble_mode,clusters,picked_clusters,potential_trades,executed_trades,detector_raw.cb_vp,detector_raw.mfvg_s,detector_raw.svwap_sh,detector_raw.iib_c,detector_raw.wtr,detector_accepted.cb_vp,detector_accepted.mfvg_s,detector_accepted.svwap_sh,detector_accepted.iib_c,detector_accepted.wtr,detector_cb_vp_raw,detector_cb_vp_acc,detector_cb_vp_avg_raw,detector_cb_vp_avg_acc,detector_mfvg_s_raw,detector_mfvg_s_acc,detector_mfvg_s_avg_raw,detector_mfvg_s_avg_acc,detector_svwap_sh_raw,detector_svwap_sh_acc,detector_svwap_sh_avg_raw,detector_svwap_sh_avg_acc,detector_iib_c_raw,detector_iib_c_acc,detector_iib_c_avg_raw,detector_iib_c_avg_acc,detector_wtr_raw,detector_wtr_acc,detector_wtr_avg_raw,detector_wtr_avg_acc,orientation_skips
2024-06-13,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-04,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,True,False,,,single_side_low_in_kz,LONG,confluence,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,,3.0,3.0,0.10505803007467822,0.10505803007467822,1.0,1.0,0.3362158273381295,0.3362158273381295,0.0,0.0,,,1.0
2024-07-08,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-09,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-11,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14,True,False,,,single_side_low_in_kz,LONG,confluence,2.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.29822338376891333,0.29822338376891333,5.0,5.0,0.10760777913101816,0.10760777913101816,0.0,0.0,,,0.0,0.0,,,
2024-07-15,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-16,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-17,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-18,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-21,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22,True,False,high_takeout,,both_in_kz_bias=high_takeout,SHORT,confluence,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.0,2.0,0.1051433316925475,0.1051433316925475,0.0,0.0,,,0.0,0.0,,,
